﻿﻿2014-00001;259;2011-4859
﻿2014-00002;592;2013-5946
﻿2014-00003;20;2012-3556
﻿2014-00004;79;2012-1944
﻿2014-00005;264;2011-1126
﻿2014-00006;264;2012-1508
﻿2014-00007;20;2013-0255
﻿2014-00008;119;2014-1757
﻿2014-00009;119;2014-1758
﻿2014-00010;20;-;
﻿2014-00011;264;2013-1532
﻿2014-00012;264;2013-1544
﻿2014-00013;287;2012-3467
﻿2014-00014;276;-;
﻿2014-00015;264;2008-4296
﻿2014-00016;288;2004-1775
﻿2014-00017;5;1999-0619
﻿2014-00018;20;1999-0667
﻿2014-00019;119;2010-5107
﻿2014-00020;404;2014-2256
﻿2014-00021;20;2013-2780
﻿2014-00022;331;2014-2250
﻿2014-00023;404;2014-2252
﻿2014-00024;399;2011-0939
﻿2014-00025;399;2011-0946
﻿2014-00026;399;2011-3273
﻿2014-00027;399;2011-3282
﻿2014-00028;399;2012-1310
﻿2014-00029;399;2012-1311
﻿2014-00030;310;2012-0386
﻿2014-00031;399;2012-0383
﻿2014-00032;399;2012-0382
﻿2014-00033;862;2012-0384
﻿2014-00034;310;2012-0381
﻿2014-00035;20;2012-3949
﻿2014-00036;399;2012-4619
﻿2014-00037;399;2012-3950
﻿2014-00038;20;2012-4623
﻿2014-00039;399;2013-1145
﻿2014-00040;119;2013-1147
﻿2014-00041;399;2013-0149
﻿2014-00042;20;2013-5478
﻿2014-00043;362;2013-5474
﻿2014-00044;20;2013-5475
﻿2014-00045;20;2014-2109
﻿2014-00046;345;2002-0438
﻿2014-00047;285;-;
﻿2014-00048;259, 798;2008-1160
﻿2014-00049;399;2011-3192
﻿2014-00050;264;-;
﻿2014-00051;79;2008-2167
﻿2014-00052;264;2014-1738
﻿2014-00053;264;2014-1737
﻿2014-00054;119;2014-0069
﻿2014-00055;119;2014-0049
﻿2014-00056;20;2014-1811
﻿2014-00057;264;2014-1807
﻿2014-00058;20;2014-0255
﻿2014-00059;255;2014-1812
﻿2014-00060;264;2014-3122
﻿2014-00061;465;2014-0055
﻿2014-00062;189;2014-3144
﻿2014-00063;264;2014-3153
﻿2014-00064;189;2014-3145
﻿2014-00065;20;2014-0038
﻿2014-00066;362;2014-2434
﻿2014-00067;264;2014-0262
﻿2014-00068;119;2014-2435
﻿2014-00069;20;2011-2492
﻿2014-00070;20;2011-2494
﻿2014-00071;20;2012-6537
﻿2014-00072;20;2012-6539
﻿2014-00073;20;2012-6540
﻿2014-00074;20;2012-6541
﻿2014-00075;20;2012-6542
﻿2014-00076;20;2012-6543
﻿2014-00077;20;2012-6544
﻿2014-00078;20;2012-6545
﻿2014-00079;20;2012-6546
﻿2014-00080;20;2012-6547
﻿2014-00081;119;2014-0323
﻿2014-00082;399;2014-0301
﻿2014-00083;362;2014-2444
﻿2014-00084;119;2014-0315
﻿2014-00085;119;2013-0343
﻿2014-00086;119;2013-2147
﻿2014-00087;119;2013-2889
﻿2014-00088;119;2013-2893
﻿2014-00089;119;2013-2929
﻿2014-00090;399;2013-4162
﻿2014-00091;20;2013-4299
﻿2014-00092;189;2013-4345
﻿2014-00093;119;2013-4512
﻿2014-00094;20;2013-4587
﻿2014-00095;189;2013-6367
﻿2014-00096;20;2013-6380
﻿2014-00097;119;2013-6381
﻿2014-00098;119;2013-6382
﻿2014-00099;264;2013-6383
﻿2014-00100;20;2013-7265
﻿2014-00101;399;2013-7339
﻿2014-00102;20;2014-0101
﻿2014-00103;362;2014-2442
﻿2014-00104;119;2014-0263
﻿2014-00105;362;2014-0427
﻿2014-00106;119;2014-0300
﻿2014-00107;310;2014-0296
﻿2014-00108;20;2014-0254
﻿2014-00109;361;2014-0196
﻿2014-00110;264;2014-1737
﻿2014-00111;264;2014-1738
﻿2014-00112;119;2014-0309
﻿2014-00113;416;2014-1766
﻿2014-00114;119;2014-0270
﻿2014-00115;399;2014-1724
﻿2014-00116;189;2014-1717
﻿2014-00117;264;2014-1730
﻿2014-00118;119;2014-1760
﻿2014-00119;119;2014-0284
﻿2014-00120;119;2014-0298
﻿2014-00121;119;2014-2755
﻿2014-00122;119;2014-0280
﻿2014-00123;119;2014-2756
﻿2014-00124;94;2014-2777
﻿2014-00125;119;2014-1800
﻿2014-00126;20;2014-1725
﻿2014-00127;119;2014-2760
﻿2014-00128;310;2014-1771
﻿2014-00129;119;2014-0274
﻿2014-00130;119;2014-1781
﻿2014-00131;264;2014-1764
﻿2014-00132;94;2014-1769
﻿2014-00133;20;2014-1731
﻿2014-00134;144;2014-0281
﻿2014-00135;119;2014-2761
﻿2014-00136;200;2014-0293
﻿2014-00137;189;2014-1744
﻿2014-00138;119;2014-1804
﻿2014-00139;119;2014-2763
﻿2014-00140;119;2014-0267
﻿2014-00141;119;2014-0271
﻿2014-00142;358;2014-1726
﻿2014-00143;119;2014-0303
﻿2014-00144;119;2014-2776
﻿2014-00145;94;2014-1716
